algorithm,params,min,mean,std,time
NN,start=0,3438520.8359142747,3438520.8359142747,0,0.0019395998679101467
NN,start=32,3423871.9356028577,3423871.9356028577,0,0.0010912998113781214
NN,start=64,3080995.8870645612,3080995.8870645612,0,0.0032313999254256487
NN,start=96,3441464.4248918523,3441464.4248918523,0,0.0018726999405771494
NN,best_of_k=1,3438520.8359142747,3438520.8359142747,0,0.0011724000796675682
NN,best_of_k=5,3353024.575102784,3353024.575102784,0,0.004593400051817298
NN,best_of_k=10,2988632.493105349,2988632.493105349,0,0.011871800059452653
NN,best_of_k=20,2988632.493105349,2988632.493105349,0,0.021132299909368157
IHC,"neigh=swap, iters=1000, restarts=10",14480954.208541745,15136909.352013452,629498.7970146476,0.06435022004880012
IHC,"neigh=insert, iters=1000, restarts=10",-9378636.688713202,-4448482.519198017,3315378.993150418,0.09353336002677679
IHC,"neigh=two_opt, iters=1000, restarts=10",11560468.601412984,12069533.099049073,496729.0394401773,0.08923395997844637
IHC,"neigh=two_opt, iters=100, restarts=10",30582540.033640645,32018244.952291965,1382616.7670854754,0.009543399978429078
IHC,"neigh=two_opt, iters=500, restarts=10",16667162.537158126,17509681.39777479,741990.1468515391,0.04516957998275757
IHC,"neigh=two_opt, iters=1000, restarts=10",11536005.60434611,11863658.47676044,436085.0739154336,0.08220808003097772
IHC,"neigh=two_opt, iters=2000, restarts=10",7293008.903700161,7695989.0879683085,412659.3482250107,0.15021649999544023
IHC,"neigh=two_opt, iters=1000, restarts=5",11178636.168134974,11877113.652670331,723858.3446951899,0.04194455998949707
IHC,"neigh=two_opt, iters=1000, restarts=10",11652111.680190535,12412063.864068585,665421.9539913192,0.09130069999955595
IHC,"neigh=two_opt, iters=1000, restarts=20",10629200.676398782,11429063.209238235,487644.40892295435,0.13922651996836066
IHC,"neigh=two_opt, iters=1000, restarts=30",11158070.935436819,11489452.650941417,280794.4063681843,0.2373822999652475
IHC,"neigh=two_opt, iters=2000, no_improve=50",8031264.408004873,8919087.192557838,550219.4871028818,0.12419434003531933
IHC,"neigh=two_opt, iters=2000, no_improve=100",7591696.945603793,8103859.760114538,524214.76152056374,0.16823527994565665
IHC,"neigh=two_opt, iters=2000, no_improve=200",7480067.63115321,8171141.451072403,578040.6923298502,0.16857919995673
IHC,"neigh=two_opt, iters=2000, no_improve=500",7444050.056346405,8091031.838042897,513512.90064365935,0.16976125999353825
IHC_INTENSIFICATION,"iters=1000, restarts=10",8582545.776190117,9048751.441530505,524685.6565596089,0.09667464001104235
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",9967167.52211791,12448113.433095062,1928003.4588968207,0.095727159967646
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",9521406.190161485,10709642.426780699,983472.9658396547,0.08783122003078461
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6726679.31697763,7281992.768228445,490382.60023039446,0.09927237997762858
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",6773551.639565488,7233745.072832339,627561.1098714853,0.0918161999899894
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",6921031.790059087,7466017.029586268,457489.8195435762,0.0986746999900788
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6026699.017557863,6832709.546487863,645025.4611611393,0.10259670000523329
