algorithm,params,min,mean,std,time
NN,start=0,2699580.699721054,2699580.699721054,0,0.00044410000555217266
NN,start=19,2893396.865746024,2893396.865746024,0,0.0007215999066829681
NN,start=38,2653349.9568363777,2653349.9568363777,0,0.00046769995242357254
NN,start=57,2636539.2273480627,2636539.2273480627,0,0.00045890011824667454
NN,best_of_k=1,2699580.699721054,2699580.699721054,0,0.0004601001273840666
NN,best_of_k=5,2600641.2244629133,2600641.2244629133,0,0.0016279998235404491
NN,best_of_k=10,2600641.2244629133,2600641.2244629133,0,0.003352800151333213
NN,best_of_k=20,2600641.2244629133,2600641.2244629133,0,0.006736599840223789
IHC,"neigh=swap, iters=1000, restarts=10",3837905.384565718,4142962.368156647,252388.557954862,0.05295144002884626
IHC,"neigh=insert, iters=1000, restarts=10",-2207571.396605725,-655498.1807834601,1164192.1521434046,0.07576753995381295
IHC,"neigh=two_opt, iters=1000, restarts=10",3261036.055689442,3508408.464499979,228164.10752699873,0.06921982001513242
IHC,"neigh=two_opt, iters=100, restarts=10",6759972.02970663,7465144.901466151,486261.7289807937,0.007630039984360337
IHC,"neigh=two_opt, iters=500, restarts=10",4535678.042120044,4787886.067156789,251971.33441543567,0.037344999983906745
IHC,"neigh=two_opt, iters=1000, restarts=10",3280327.750464591,3467017.1634514863,207086.87885821817,0.06959427995607256
IHC,"neigh=two_opt, iters=2000, restarts=10",2828782.0066850064,2979090.2739447765,115335.60932089598,0.13882312001660466
IHC,"neigh=two_opt, iters=1000, restarts=5",3281054.6552074575,3486053.3095846446,175891.9261002415,0.03507158001884818
IHC,"neigh=two_opt, iters=1000, restarts=10",3105171.711470032,3509328.5810752534,245354.81896863796,0.0689400200266391
IHC,"neigh=two_opt, iters=1000, restarts=20",3373736.7687905426,3672254.191077716,242364.04898382898,0.12905644001439215
IHC,"neigh=two_opt, iters=1000, restarts=30",3330046.0667925635,3409739.350150484,55512.550855161746,0.1986420199740678
IHC,"neigh=two_opt, iters=2000, no_improve=50",3050408.1814426444,3421610.286359894,213415.03438058443,0.06920962003059686
IHC,"neigh=two_opt, iters=2000, no_improve=100",2819251.6353634307,3041514.858245651,161763.8045208779,0.12231376003473997
IHC,"neigh=two_opt, iters=2000, no_improve=200",2853880.9013054566,2967612.627512401,121763.1154626741,0.13152512004598976
IHC,"neigh=two_opt, iters=2000, no_improve=500",2894417.782099552,2964415.9713857817,115140.54092156535,0.12856012000702322
IHC_INTENSIFICATION,"iters=1000, restarts=10",2228124.3568418017,2968470.7730205646,423235.017416337,0.06826699995435774
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",3590854.878115563,3936638.049219707,554110.042537224,0.054759260080754754
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",3329899.5409421707,3453393.8229230414,160720.06917534495,0.05520427995361388
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",2786669.2437025276,2970185.307848031,171240.81107613206,0.06068780003115535
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",2703189.8966960576,2829589.49754113,110123.73880680026,0.05861914004199207
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",2799386.970145904,2943643.2701765886,144260.16260028954,0.06390280006453394
