algorithm,params,min,mean,std,time
NN,start=0,3438520.8359142747,3438520.8359142747,0,0.0017311000265181065
NN,start=32,3423871.9356028577,3423871.9356028577,0,0.0005435000639408827
NN,start=64,3080995.8870645612,3080995.8870645612,0,0.0005113999359309673
NN,start=96,3441464.4248918523,3441464.4248918523,0,0.0005764998495578766
NN,best_of_k=1,3438520.8359142747,3438520.8359142747,0,0.00147979985922575
NN,best_of_k=5,3353024.575102784,3353024.575102784,0,0.003289399901404977
NN,best_of_k=10,2988632.493105349,2988632.493105349,0,0.014897099928930402
NN,best_of_k=20,2988632.493105349,2988632.493105349,0,0.01701879990287125
IHC,"neigh=swap, iters=1000, restarts=10",14617175.234221393,15460079.596860707,971618.8959697385,0.03251271997578442
IHC,"neigh=insert, iters=1000, restarts=10",14554068.24911172,15400161.853951558,607011.7138380368,0.29550704001449046
IHC,"neigh=two_opt, iters=1000, restarts=10",10426691.177025974,11687959.418435618,1137376.159325327,0.04219287997111678
IHC,"neigh=two_opt, iters=100, restarts=10",30086235.429594226,30959737.69395273,682805.1098320511,0.004488799953833222
IHC,"neigh=two_opt, iters=500, restarts=10",16748574.948128276,17878625.840712298,748014.6375911477,0.023559159971773623
IHC,"neigh=two_opt, iters=1000, restarts=10",10478332.562767291,11511631.95528668,803303.8157023825,0.04744704002514481
IHC,"neigh=two_opt, iters=2000, restarts=10",7028745.589863616,7748160.549168586,585941.3210387604,0.07993692005984485
IHC,"neigh=two_opt, iters=1000, restarts=5",12152116.41048656,13227775.591987588,796748.8554788585,0.024967499962076544
IHC,"neigh=two_opt, iters=1000, restarts=10",11824900.463924855,12196740.177790612,337922.2038132167,0.049456079956144094
IHC,"neigh=two_opt, iters=1000, restarts=20",11157974.192822358,11556237.899844497,305331.75245381094,0.08701244001276791
IHC,"neigh=two_opt, iters=1000, restarts=30",11388742.212565701,11592171.549041685,133964.60242720894,0.1208288200199604
IHC,"neigh=two_opt, iters=2000, no_improve=50",7946788.374906535,8292423.46023472,231382.42865934843,0.0698223000857979
IHC,"neigh=two_opt, iters=2000, no_improve=100",7627099.856350586,7956864.353962961,240166.51801377125,0.08281998001039029
IHC,"neigh=two_opt, iters=2000, no_improve=200",6890901.103053181,7562345.49254201,463808.3539218144,0.0815625200048089
IHC,"neigh=two_opt, iters=2000, no_improve=500",7687560.943725916,8086374.192232195,599748.052609032,0.08549218005500733
IHC_INTENSIFICATION,"iters=1000, restarts=10",7962431.357981074,9204830.381026182,925379.831678586,0.06146559994667768
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",11811350.17972827,13083421.744807271,1417807.3978714985,0.05239239996299148
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",8710560.810789479,11213982.868578259,1602705.5915916471,0.05066612004302442
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6194835.263119136,6759793.218239589,615439.2012749905,0.054517259914428
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",7512274.575376223,7824004.966952213,373920.0392412948,0.05143812000751495
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",7063558.899967102,7536615.657780826,397957.4557034929,0.058785100001841784
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6237019.186130158,7085984.630027627,837400.6243145072,0.05492944000288844
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",5484729.801848598,6175963.170302192,555581.0629480275,0.06306723994202912
SA,"neigh=two_opt, temp=1000, alpha=0.9, iters=5000",23946596.918627094,25209282.213202916,848700.3950483127,0.009470200026407838
SA,"neigh=two_opt, temp=1000, alpha=0.95, iters=5000",15917053.665963847,18322210.817982305,1807816.5586645303,0.013330340059474111
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6162659.362451783,7027934.0614295155,530554.4569703836,0.058063199976459146
