algorithm,params,min,mean,std,time
NN,start=0,3438520.8359142747,3438520.8359142747,0,0.00028499984182417393
NN,start=32,3423871.9356028577,3423871.9356028577,0,0.0003168000839650631
NN,start=64,3080995.8870645612,3080995.8870645612,0,0.00023780018091201782
NN,start=96,3441464.4248918523,3441464.4248918523,0,0.00023099989630281925
NN,best_of_k=1,3438520.8359142747,3438520.8359142747,0,0.0002834999468177557
NN,best_of_k=5,3353024.575102784,3353024.575102784,0,0.0011775000020861626
NN,best_of_k=10,2988632.493105349,2988632.493105349,0,0.0023074999917298555
NN,best_of_k=20,2988632.493105349,2988632.493105349,0,0.0050068998243659735
IHC,"neigh=swap, iters=1000, restarts=10",15863092.20442923,16064112.535652013,182749.4616455154,0.013544580014422537
IHC,"neigh=insert, iters=1000, restarts=10",-6344228.33469277,-4482082.888463096,1570344.014357144,0.01912200003862381
IHC,"neigh=two_opt, iters=1000, restarts=10",10315028.819868024,11772284.952630948,844649.4646739814,0.01701976000331342
IHC,"neigh=two_opt, iters=100, restarts=10",29667904.847998913,31842621.36868323,1373227.9723061854,0.0019134999252855777
IHC,"neigh=two_opt, iters=500, restarts=10",15287872.040492676,17084864.414091147,1346968.118490135,0.008893120009452105
IHC,"neigh=two_opt, iters=1000, restarts=10",12107230.050182452,12441743.619372712,315059.89294506126,0.017125439969822763
IHC,"neigh=two_opt, iters=2000, restarts=10",7167809.745534839,8097905.362040016,577755.9106096488,0.032929060002788904
IHC,"neigh=two_opt, iters=1000, restarts=5",12243447.47253007,12794777.774125837,605602.9475306823,0.009049040032550693
IHC,"neigh=two_opt, iters=1000, restarts=10",11245756.724746007,11922061.26211384,470638.5473453642,0.019945379998534917
IHC,"neigh=two_opt, iters=1000, restarts=20",10672581.731485873,11328123.829093063,527630.0644068128,0.0334591799415648
IHC,"neigh=two_opt, iters=1000, restarts=30",10121345.263188813,11316651.56650262,741076.3454510904,0.05090590002946556
IHC,"neigh=two_opt, iters=2000, no_improve=50",7105903.885032213,7937296.77563753,652450.376252167,0.027024920005351304
IHC,"neigh=two_opt, iters=2000, no_improve=100",7221531.033728177,7867851.610211252,396810.90836958116,0.03406472005881369
IHC,"neigh=two_opt, iters=2000, no_improve=200",7694298.133540867,7937165.743299128,210981.14299704245,0.03389810002408922
IHC,"neigh=two_opt, iters=2000, no_improve=500",7934279.79208844,8135237.513685401,162691.3108311575,0.03345661996863782
IHC_INTENSIFICATION,"iters=1000, restarts=10",7912488.771560751,9084107.256840276,1390084.7772657576,0.018593519972637296
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",11415849.287236981,13111055.00679159,1273590.683855261,0.020358999958261847
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",10669824.82124203,11281188.04046986,533920.4741309714,0.02075942000374198
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6843593.558213571,7406452.017089042,411058.7429655833,0.022387579968199133
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",7228766.159151188,7711262.322681907,566142.380176667,0.020864340011030436
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",6241054.505244255,7157830.514408065,1024435.5778948352,0.02195990001782775
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6087284.726005293,6933222.43614085,794096.1546162122,0.02207704004831612
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",5968990.675784271,7068737.038390016,743140.3763915275,0.023827739944681525
SA,"neigh=two_opt, temp=1000, alpha=0.9, iters=5000",24228120.030829627,26185512.137227263,1497521.3809226172,0.0022081800270825624
SA,"neigh=two_opt, temp=1000, alpha=0.95, iters=5000",16762556.34494809,17955351.56277498,1318975.960916158,0.004689259966835379
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6680845.304589325,7131920.822321762,550578.6603475923,0.022339379927143455
SA,"neigh=two_opt, temp=1000, alpha=0.995, iters=5000",4990681.162832067,5363320.3558819685,635386.3209669676,0.037547320034354924
SA,"neigh=two_opt, temp=1000, cooling=geometric",6328812.952345007,7566939.546127186,1011587.482234719,0.022329659992828967
SA,"neigh=two_opt, temp=1000, cooling=linear",4648615.1736199325,5114578.337730537,284754.80515980755,0.03757140003144741
SA,"neigh=two_opt, temp=1000, cooling=logarithmic",4491066.130302481,5005211.793906374,554936.5347708164,0.03813306004740298
SA_REHEATING,"temp=1000, alpha=0.99, iters=5000",4499542.820482378,4726806.293391519,254060.4822815997,0.03664800003170967
TS,"neigh=swap, iters=500, tabu_size=20",8994264.351931939,9725302.038856348,809697.5200780535,0.06970323999412358
TS,"neigh=insert, iters=500, tabu_size=20",7860139.399220845,8363999.710709562,451426.5435568625,0.07005160003900528
TS,"neigh=two_opt, iters=500, tabu_size=20",4384021.735620353,4797233.280176104,439624.1964872077,0.0754865000024438
TS,"neigh=two_opt, iters=500, tabu_size=5",4475795.44158429,4811389.303230592,534378.554570103,0.07449396001175046
TS,"neigh=two_opt, iters=500, tabu_size=10",4234055.891775929,4538876.96161523,193535.98780067524,0.07480880003422499
TS,"neigh=two_opt, iters=500, tabu_size=20",4511764.358528709,4698232.831605877,199360.14474410136,0.07913508000783623
TS,"neigh=two_opt, iters=500, tabu_size=50",4194496.900397029,4639717.394909505,288431.23324642685,0.07887091995216906
TS,"neigh=two_opt, iters=100, tabu_size=20",10543844.11279699,11502797.022964615,615737.2736620472,0.016308599943295123
TS,"neigh=two_opt, iters=250, tabu_size=20",5679397.957044559,6546782.994204424,640858.1468719048,0.038875680044293405
TS,"neigh=two_opt, iters=500, tabu_size=20",4543359.10966826,4688103.015630933,148061.62298520596,0.07693864000029862
TS,"neigh=two_opt, iters=1000, tabu_size=20",3986553.7903770115,4197008.578570922,210463.34926287632,0.15269545996561645
TS,"neigh=two_opt, iters=500, candidates=5",11281229.581836563,12253598.394215269,601138.0336905262,0.01980813997797668
TS,"neigh=two_opt, iters=500, candidates=10",6716761.847734404,7149520.711609117,353933.01251231553,0.03911354001611471
TS,"neigh=two_opt, iters=500, candidates=20",4242201.69102874,4715583.931268254,601123.3064679381,0.07635158002376556
TS,"neigh=two_opt, iters=500, candidates=40",3598132.0442007203,3640845.5480868868,26426.83920924643,0.15284532005898654
TS_DIVERSIFICATION,"iters=500, tabu_size=20",4350797.44703386,4739016.208290921,272883.3929850376,0.07601711992174387
GA,"sel=tournament, cross=ox, pop=100, gen=100",13059593.769301679,14726937.888576783,1143522.9988093588,0.3212970000226051
GA,"sel=roulette, cross=ox, pop=100, gen=100",17883297.368063573,19798518.323367573,1636191.0995720425,0.44562021996825935
GA,"sel=ranking, cross=ox, pop=100, gen=100",14837115.777763696,16792866.78349524,1221168.1703813232,0.48591594002209604
GA,"sel=tournament, cross=ox, pop=100, gen=100",15052252.787223598,16035745.724674108,729380.3065977121,0.3213787599466741
GA,"sel=tournament, cross=pmx, pop=100, gen=100",17904854.10775285,18512368.081909087,615941.770764102,0.20231278003193437
GA,"sel=tournament, cross=cx, pop=100, gen=100",18021212.104351196,20073016.276172116,2559386.0945773465,1.2596301200333984
GA,"sel=tournament, cross=ox, mut=swap, pop=100, gen=100",13145904.209119169,14759581.823837632,1422703.3430102004,0.3208912800066173
GA,"sel=tournament, cross=ox, mut=insert, pop=100, gen=100",14942388.624151735,16205483.696015019,1076852.3927442953,0.32027061996050177
GA,"sel=tournament, cross=ox, mut=inversion, pop=100, gen=100",10914140.599579984,12071226.601181248,664201.632706448,0.3222874200437218
GA,"sel=tournament, cross=ox, pop=50, gen=100",18256719.20473953,18690079.428939335,422444.95269444404,0.15869692000560462
GA,"sel=tournament, cross=ox, pop=100, gen=100",15214943.918770827,16421109.491943667,1066762.3823652586,0.31965048001147806
GA,"sel=tournament, cross=ox, pop=150, gen=100",12942503.52414787,13808385.656892875,805246.972648921,0.48493927996605635
GA,"sel=tournament, cross=ox, pop=200, gen=100",11225271.771021593,12852707.641554106,1729526.3136579667,0.6480292599648237
GA,"sel=tournament, cross=ox, p_mut=0.01, pop=100, gen=100",16923010.92016925,17967381.8193279,1161995.3778061983,0.32178195994347336
GA,"sel=tournament, cross=ox, p_mut=0.05, pop=100, gen=100",15280490.647713197,16816739.573733777,1334879.2942636213,0.31958659999072553
GA,"sel=tournament, cross=ox, p_mut=0.1, pop=100, gen=100",14116726.248927668,15691312.259088606,1397464.5222174192,0.32218795996159316
GA,"sel=tournament, cross=ox, p_mut=0.2, pop=100, gen=100",13556230.464524508,14632759.685694275,949011.1610369853,0.32356654000468554
GA_ADAPTIVE,"pop=100, gen=100, adaptive_mutation",13692297.74546916,16297833.214200076,1881577.6717598632,0.46816059993579984
ACO,"n_ants=10, iters=50, alpha=1, beta=2",4118150.9365786505,4272113.981462475,145815.37828248175,0.744661600003019
ACO,"n_ants=20, iters=50, alpha=1, beta=2",3516269.568764249,3891210.077772284,224092.86301129806,1.4457090400159358
ACO,"n_ants=30, iters=50, alpha=1, beta=2",3437903.3197156307,3623569.1984940516,121380.94050421631,2.12512203999795
ACO,"n_ants=50, iters=50, alpha=1, beta=2",3235031.178892922,3343355.1171191745,77884.00048967822,3.547948700096458
ACO,"n_ants=20, iters=50, alpha=0.5, beta=2",4236819.523349945,4329164.018714858,83840.16720805313,1.435186340007931
ACO,"n_ants=20, iters=50, alpha=1.0, beta=2",3889939.678699792,3976444.004671423,73498.95780165667,1.4332142800092698
ACO,"n_ants=20, iters=50, alpha=2.0, beta=2",3054026.416860468,3114384.7225528364,46497.739199941825,1.4387446800246835
ACO,"n_ants=20, iters=50, alpha=3.0, beta=2",3028977.8662518463,3066508.0911298543,28457.18790469287,1.4343925600405782
ACO,"n_ants=20, iters=50, alpha=1, beta=1.0",9014222.046158852,9259297.645011164,204488.09070062925,1.4607813799288123
ACO,"n_ants=20, iters=50, alpha=1, beta=2.0",3702126.0453357454,3928515.1204039096,159785.85248385795,1.4357045599725098
ACO,"n_ants=20, iters=50, alpha=1, beta=3.0",3183270.155844512,3232790.421552996,36790.5489135994,1.4188408199697733
ACO,"n_ants=20, iters=50, alpha=1, beta=5.0",3046965.0308758835,3056624.153782406,12490.798144241002,1.4359554599970579
ACO,"n_ants=20, iters=50, rho=0.1",4342502.489443795,4491408.971385218,147121.88489013407,1.4630360800307245
ACO,"n_ants=20, iters=50, rho=0.3",3438487.2599095367,3713061.527739823,190131.2116569925,1.4306370799895376
ACO,"n_ants=20, iters=50, rho=0.5",3874811.3269079537,3959649.181251493,116466.23476211893,1.427367760008201
