algorithm,params,min,mean,std,time
NN,start=0,8965.169966104793,8965.169966104793,0,0.00016460008919239044
NN,start=12,8999.541686538136,8999.541686538136,0,0.00014739995822310448
NN,start=24,10177.650858754903,10177.650858754903,0,0.00012769992463290691
NN,start=36,10466.257965929759,10466.257965929759,0,0.00014070002362132072
NN,best_of_k=1,8965.169966104793,8965.169966104793,0,0.0001900000497698784
NN,best_of_k=5,8965.169966104793,8965.169966104793,0,0.0006971999537199736
NN,best_of_k=10,8965.169966104793,8965.169966104793,0,0.001325900200754404
NN,best_of_k=20,8793.762394544243,8793.762394544243,0,0.0019622999243438244
IHC,"neigh=swap, iters=1000, restarts=10",12665.582771217407,13795.670652361536,942.130548574722,0.030408719927072524
IHC,"neigh=insert, iters=1000, restarts=10",-23726.359758073362,-12012.220497499597,7301.286466526311,0.03820215994492173
IHC,"neigh=two_opt, iters=1000, restarts=10",10286.49073826177,10770.012452027164,362.33847152545746,0.03417052002623677
IHC,"neigh=two_opt, iters=100, restarts=10",22701.791235743887,23225.04411425169,508.05300082466084,0.003395859943702817
IHC,"neigh=two_opt, iters=500, restarts=10",12887.266984851976,13393.565799193768,307.36348986891005,0.017965300008654594
IHC,"neigh=two_opt, iters=1000, restarts=10",10387.061894042736,10803.151413057038,264.5787949666474,0.033292420022189614
IHC,"neigh=two_opt, iters=2000, restarts=10",9031.729411177004,9315.76722029469,227.3259039342077,0.07050762004218995
IHC,"neigh=two_opt, iters=1000, restarts=5",10350.03772100749,10541.558660947461,227.00957829930962,0.016977259982377292
IHC,"neigh=two_opt, iters=1000, restarts=10",10342.440751605907,10769.997097930032,307.21155032330967,0.033690300071612
IHC,"neigh=two_opt, iters=1000, restarts=20",9581.560250901275,10174.202338803832,553.3545721565852,0.06804466000758111
IHC,"neigh=two_opt, iters=1000, restarts=30",9962.516932601044,10277.539185988848,314.230809425134,0.1134985400363803
IHC,"neigh=two_opt, iters=2000, no_improve=50",10706.726724072783,11406.943457246296,952.4112243088537,0.02040886003524065
IHC,"neigh=two_opt, iters=2000, no_improve=100",9339.95922959779,9795.342191158152,439.9201722717486,0.043926640041172506
IHC,"neigh=two_opt, iters=2000, no_improve=200",8970.940617463653,9190.67658876274,215.93073936232537,0.058993380051106215
IHC,"neigh=two_opt, iters=2000, no_improve=500",8934.22886723152,9098.20194982986,132.30164115064278,0.06944510005414486
IHC_INTENSIFICATION,"iters=1000, restarts=10",8244.743159652666,8888.520581119057,477.6626988142063,0.035871700011193754
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",12524.596858628054,14071.089150424545,1061.1734600777806,0.02523150001652539
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",10957.1185313476,11404.57288691963,485.5268271089734,0.02504987996071577
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",8669.426564488958,9165.88886117019,384.935773860219,0.028474640008062123
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",8754.561108536464,9031.87110764584,393.9210315588772,0.024642760027199985
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",8702.541317328141,9380.590266094205,916.9063395085223,0.025692559964954852
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",8896.312892185057,9267.283426860507,307.64729561768104,0.02601080001331866
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",8986.925864379818,9249.156013801548,305.04012798356564,0.028406939981505275
SA,"neigh=two_opt, temp=1000, alpha=0.9, iters=5000",18305.275545276774,19926.923035486237,1271.913250400748,0.003828739980235696
SA,"neigh=two_opt, temp=1000, alpha=0.95, iters=5000",11957.661061362514,13706.825402975504,1473.6210770547539,0.007620400004088879
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",9204.126889378545,9451.631423793411,290.86464884186887,0.02491931999102235
SA,"neigh=two_opt, temp=1000, alpha=0.995, iters=5000",8502.765062124301,8627.70849553981,169.60118576128883,0.047358259977772835
SA,"neigh=two_opt, temp=1000, cooling=geometric",8739.591708398993,9245.454665980675,395.87157381876494,0.027230479987338185
SA,"neigh=two_opt, temp=1000, cooling=linear",10595.048409455301,11246.655897456763,469.46079217865747,0.04606046001426876
SA,"neigh=two_opt, temp=1000, cooling=logarithmic",10041.415399177711,10612.530075039564,798.2249335863668,0.05122662005014718
SA_REHEATING,"temp=1000, alpha=0.99, iters=5000",9237.93485975595,10645.502566709709,1055.8921706589329,0.04366496000438928
TS,"neigh=swap, iters=500, tabu_size=20",11660.772645073162,12647.6038563833,1035.2447399979192,0.07784920004196465
TS,"neigh=insert, iters=500, tabu_size=20",10235.284739725035,10837.988101551087,675.4980468332553,0.07760566002689302
TS,"neigh=two_opt, iters=500, tabu_size=20",9465.842680472586,9759.387329159717,270.95398942756435,0.09477456002496183
TS,"neigh=two_opt, iters=500, tabu_size=5",9076.85790884827,9334.61977619403,213.32924000016695,0.09339374005794525
TS,"neigh=two_opt, iters=500, tabu_size=10",9287.769048034881,9513.628659599222,132.40246711007487,0.08851314010098577
TS,"neigh=two_opt, iters=500, tabu_size=20",9200.024520465318,9423.563716714194,148.08755818784334,0.09289315999485552
TS,"neigh=two_opt, iters=500, tabu_size=50",9389.031222158266,9503.118010931656,104.39035514845402,0.09801912005059421
TS,"neigh=two_opt, iters=100, tabu_size=20",10338.19451861114,11113.992548779102,726.7551485122095,0.01787113999016583
TS,"neigh=two_opt, iters=250, tabu_size=20",9382.762061217345,9628.995968869354,214.05614660551092,0.047438199957832695
TS,"neigh=two_opt, iters=500, tabu_size=20",9115.786963637645,9310.866580669383,128.9459797430616,0.09021512004546821
TS,"neigh=two_opt, iters=1000, tabu_size=20",9102.961737299014,9219.647965048885,72.47290991764527,0.19379121996462345
TS,"neigh=two_opt, iters=500, candidates=5",15773.943227298214,16050.05560428742,480.6328595743721,0.02345949998125434
TS,"neigh=two_opt, iters=500, candidates=10",11224.337845449496,11744.06555912628,394.44783829740254,0.0469189599622041
TS,"neigh=two_opt, iters=500, candidates=20",9138.086556359829,9343.975265614463,224.50111826473156,0.09264727993868291
TS,"neigh=two_opt, iters=500, candidates=40",8510.82552745253,8603.86644008054,96.07297259145987,0.31090289996936915
TS_DIVERSIFICATION,"iters=500, tabu_size=20",9507.90194805594,9931.916422245913,383.7419226008279,0.16358166001737118
GA,"sel=tournament, cross=ox, pop=100, gen=100",13053.072305048714,14202.655757115119,964.5269768614639,0.47301382003352044
GA,"sel=roulette, cross=ox, pop=100, gen=100",15299.813163270413,16561.34420189886,995.0769745753943,1.1266982399858534
GA,"sel=ranking, cross=ox, pop=100, gen=100",12795.616034526394,15303.63686896984,1892.482083575303,1.2785814600531011
GA,"sel=tournament, cross=ox, pop=100, gen=100",11799.344806903948,13589.618336713469,1152.7570878656834,0.5213892199099064
GA,"sel=tournament, cross=pmx, pop=100, gen=100",15243.967743192332,16037.899215341891,890.707415665842,0.3979378399439156
GA,"sel=tournament, cross=cx, pop=100, gen=100",16756.377033551067,17923.74788377752,1121.1236729019508,1.3431172400247307
GA,"sel=tournament, cross=ox, mut=swap, pop=100, gen=100",13178.188685148267,14355.27667132216,922.215443082344,0.5043909200001508
GA,"sel=tournament, cross=ox, mut=insert, pop=100, gen=100",12964.73655176442,14339.600648251579,1490.9554703073707,0.44043505997397003
GA,"sel=tournament, cross=ox, mut=inversion, pop=100, gen=100",11875.275787222905,12358.152715614804,663.358222725517,0.45332183996215464
GA,"sel=tournament, cross=ox, pop=50, gen=100",15518.963233400409,16670.562792027446,1196.2618130153905,0.2070631400216371
GA,"sel=tournament, cross=ox, pop=100, gen=100",12015.376738490775,13887.781472932369,1106.4596164442708,0.4429042000789195
GA,"sel=tournament, cross=ox, pop=150, gen=100",12130.97612318771,13104.071904462395,630.4434890868664,0.7017334999516607
GA,"sel=tournament, cross=ox, pop=200, gen=100",10888.881803465527,12476.102326661903,2017.3314268883905,0.9118488799780607
GA,"sel=tournament, cross=ox, p_mut=0.01, pop=100, gen=100",15344.75264803286,16712.174074606384,1229.2836021350895,0.4450063000433147
GA,"sel=tournament, cross=ox, p_mut=0.05, pop=100, gen=100",13763.033079892642,14854.74671791849,891.9189648762244,0.44444713997654617
GA,"sel=tournament, cross=ox, p_mut=0.1, pop=100, gen=100",13533.832377602957,14473.532922720968,825.1420098381036,0.4475620400160551
GA,"sel=tournament, cross=ox, p_mut=0.2, pop=100, gen=100",12817.069166391866,14504.88238048502,974.7378993291871,0.43391437996178867
GA_ADAPTIVE,"pop=100, gen=100, adaptive_mutation",10982.253205440998,13196.523004901157,2007.8784515512152,0.6757988600526005
ACO,"n_ants=10, iters=50, alpha=1, beta=2",8455.64541812837,8670.701152035897,146.01310505615987,0.4939368799794465
ACO,"n_ants=20, iters=50, alpha=1, beta=2",8431.4690193654,8540.00067205065,116.29233897367192,0.9587990799918771
ACO,"n_ants=30, iters=50, alpha=1, beta=2",8514.351048491133,8557.405465660326,49.47656762564187,1.4667744000442327
ACO,"n_ants=50, iters=50, alpha=1, beta=2",8421.228898901969,8474.451918190809,48.25284002451704,2.4349029199685903
ACO,"n_ants=20, iters=50, alpha=0.5, beta=2",9396.380351361357,9811.658320304374,274.08259218959364,1.0290999400429428
ACO,"n_ants=20, iters=50, alpha=1.0, beta=2",8626.526092093065,8656.3508650087,44.64328308561484,0.9913611800409854
ACO,"n_ants=20, iters=50, alpha=2.0, beta=2",8543.361895912305,8788.929704864815,155.9230937327309,0.9804946999065578
ACO,"n_ants=20, iters=50, alpha=3.0, beta=2",8944.224373196104,9009.533261695671,71.20762432862209,0.9919640600215643
ACO,"n_ants=20, iters=50, alpha=1, beta=1.0",9163.755918799614,9424.325556898086,212.34388051083488,1.0160024200100453
ACO,"n_ants=20, iters=50, alpha=1, beta=2.0",8474.053738584344,8592.283578214003,77.15329983822872,1.0095973999705166
ACO,"n_ants=20, iters=50, alpha=1, beta=3.0",8431.4690193654,8493.70677779722,47.25984761858587,0.9858483599033206
ACO,"n_ants=20, iters=50, alpha=1, beta=5.0",8431.4690193654,8490.198721870787,59.36992771435666,0.9751141800079495
ACO,"n_ants=20, iters=50, rho=0.1",8978.37894030213,9268.770612402312,205.3565292452047,0.9566869399975986
ACO,"n_ants=20, iters=50, rho=0.3",8431.667535599834,8570.75398193587,99.98719807570674,0.9741017600055784
ACO,"n_ants=20, iters=50, rho=0.5",8435.311487567384,8559.645236443352,138.56131903691966,1.0519241199828684
ACO,"n_ants=20, iters=50, rho=0.7",8431.4690193654,8648.108068618405,192.84491042456068,1.0398863999638706
MMAS,"n_ants=20, iters=50 (MAX-MIN)",9140.15453382241,9516.391834980634,268.413103664719,0.9934794000349939
