algorithm,params,min,mean,std,time
TS_DIVERSIFICATION,"iters=500, tabu_size=20",2662621.3369712895,2752826.8334473567,102395.51862106407,0.05214401995763183
GA,"sel=tournament, cross=ox, pop=100, gen=100",3583919.1769823954,3945134.493213654,419338.0881815525,0.1748762599658221
GA,"sel=roulette, cross=ox, pop=100, gen=100",4130686.4255379164,4424756.357958594,317424.1549661184,0.301234280038625
GA,"sel=ranking, cross=ox, pop=100, gen=100",3565796.8256266546,4163667.5143899578,595686.7343609751,0.34078236008062956
GA,"sel=tournament, cross=ox, pop=100, gen=100",3627021.7079947772,3837948.924587539,242772.72284370294,0.1723687999881804
GA,"sel=tournament, cross=pmx, pop=100, gen=100",3925945.625582265,4307685.375735773,361148.1312451846,0.12144467998296023
GA,"sel=tournament, cross=cx, pop=100, gen=100",4139750.7035517455,4636070.008640668,333504.70983815886,0.5309486800804735
GA,"sel=tournament, cross=ox, mut=swap, pop=100, gen=100",4054396.038040897,4117347.69057358,52854.17590327642,0.17245151996612548
GA,"sel=tournament, cross=ox, mut=insert, pop=100, gen=100",3674155.5782871423,4033528.4633420836,399613.27312615095,0.17205034005455672
GA,"sel=tournament, cross=ox, mut=inversion, pop=100, gen=100",3098450.840638658,3295520.878287516,203688.7474574565,0.17341188001446425
GA,"sel=tournament, cross=ox, pop=50, gen=100",4219822.595918753,4798832.44350432,549667.0149737163,0.08503419999033213
GA,"sel=tournament, cross=ox, pop=100, gen=100",3443949.294871265,3750216.646437474,191821.47866351862,0.17306411997415125
GA,"sel=tournament, cross=ox, pop=150, gen=100",3411709.0077990144,3612118.0643475573,222771.76397418408,0.26484627998434007
GA,"sel=tournament, cross=ox, pop=200, gen=100",3435404.186271875,3630340.487684647,179783.68583476933,0.34595516002736987
GA,"sel=tournament, cross=ox, p_mut=0.01, pop=100, gen=100",3538760.8104368583,4083024.266538449,415060.0106221184,0.1718343399465084
GA,"sel=tournament, cross=ox, p_mut=0.05, pop=100, gen=100",3792032.5273612454,4215244.618453986,666803.5334461996,0.1733544399961829
GA,"sel=tournament, cross=ox, p_mut=0.1, pop=100, gen=100",3624167.3085159115,3973356.9216963393,247897.85183405216,0.17489773998968303
GA,"sel=tournament, cross=ox, p_mut=0.2, pop=100, gen=100",3405312.4845905756,3800878.558206319,257107.38180455292,0.17660427996888756
GA_ADAPTIVE,"pop=100, gen=100, adaptive_mutation",3257047.5794382202,3677097.1288927337,282381.7986361204,0.2619183999951929
ACO,"n_ants=10, iters=50, alpha=1, beta=2",2624115.7725675264,2759805.484378585,83966.17337794842,0.2842617799993604
ACO,"n_ants=20, iters=50, alpha=1, beta=2",2636692.5449775546,2648983.8955195174,11284.45208043447,0.5492628400214017
ACO,"n_ants=30, iters=50, alpha=1, beta=2",2578882.126081987,2593498.6363771297,10912.603613565416,0.8141100399661809
ACO,"n_ants=50, iters=50, alpha=1, beta=2",2532142.653499086,2553337.3224721146,16373.954036334913,1.3370105399750174
ACO,"n_ants=20, iters=50, alpha=0.5, beta=2",2708582.562160654,2745226.4852396785,22982.119207027896,0.5477543799672275
ACO,"n_ants=20, iters=50, alpha=1.0, beta=2",2581214.723323183,2634898.135781187,45986.79184246468,0.5477494600228965
ACO,"n_ants=20, iters=50, alpha=2.0, beta=2",2504391.2858305266,2517153.619651342,11078.577378867221,0.545625239983201
ACO,"n_ants=20, iters=50, alpha=3.0, beta=2",2503695.934260271,2517282.0358140813,14770.594195856613,0.5366206800099462
ACO,"n_ants=20, iters=50, alpha=1, beta=1.0",3284763.463161831,3352066.518167676,71228.14933040486,0.5470480800140649
ACO,"n_ants=20, iters=50, alpha=1, beta=2.0",2640724.021396972,2672064.9794913633,19794.766791875758,0.5418687799479812
ACO,"n_ants=20, iters=50, alpha=1, beta=3.0",2536300.9879202005,2550853.607270229,16042.565387092536,0.5399360199924559
ACO,"n_ants=20, iters=50, alpha=1, beta=5.0",2495675.4986660457,2513461.0244472013,13711.756280798845,0.5380977800115943
ACO,"n_ants=20, iters=50, rho=0.1",2702501.811751278,2765929.1327032517,38582.91925434408,0.5479297599755227
ACO,"n_ants=20, iters=50, rho=0.3",2613002.6453091414,2631621.222025186,16605.85348215224,0.5472251200117171
ACO,"n_ants=20, iters=50, rho=0.5",2616810.5075185974,2639094.038290049,16962.203843057003,0.5400007999967784
ACO,"n_ants=20, iters=50, rho=0.7",2626803.5800368255,2670150.0561539647,41940.28730950036,0.5372912399936467
MMAS,"n_ants=20, iters=50 (MAX-MIN)",2542271.2187085426,2587348.428570167,35689.05949059589,0.5519198599271476
