algorithm,params,min,mean,std,time
NN,start=0,2699580.699721054,2699580.699721054,0,0.0010893999133259058
NN,start=19,2893396.865746024,2893396.865746024,0,0.0005948999896645546
NN,start=38,2653349.9568363777,2653349.9568363777,0,0.00025539984926581383
NN,start=57,2636539.2273480627,2636539.2273480627,0,0.000296599930152297
NN,best_of_k=1,2699580.699721054,2699580.699721054,0,0.0007573000621050596
NN,best_of_k=5,2600641.2244629133,2600641.2244629133,0,0.0010228999890387058
NN,best_of_k=10,2600641.2244629133,2600641.2244629133,0,0.002086800057440996
NN,best_of_k=20,2600641.2244629133,2600641.2244629133,0,0.004019299987703562
IHC,"neigh=swap, iters=1000, restarts=10",3771241.50090461,4021746.844406846,157703.26418566483,0.031052139960229395
IHC,"neigh=insert, iters=1000, restarts=10",-3488715.3054666757,-2297871.066360895,937099.4444876252,0.04116219999268651
IHC,"neigh=two_opt, iters=1000, restarts=10",3277470.630970876,3539298.0544792744,182475.53506183944,0.044192800065502524
IHC,"neigh=two_opt, iters=100, restarts=10",6789024.059105839,7154886.011107955,352241.84851063543,0.004375179950147867
IHC,"neigh=two_opt, iters=500, restarts=10",4182172.407847595,4516017.200010037,292854.784984881,0.024231120012700558
IHC,"neigh=two_opt, iters=1000, restarts=10",3194629.670348386,3583950.2015754646,236910.69531210026,0.04238034002482891
IHC,"neigh=two_opt, iters=2000, restarts=10",2891826.6309584356,2962146.6991520827,51577.45513505814,0.07737055998295546
IHC,"neigh=two_opt, iters=1000, restarts=5",3496232.5457851803,3973694.795210026,459719.26003685984,0.019661380024626852
IHC,"neigh=two_opt, iters=1000, restarts=10",3193459.2173811914,3519514.383784812,259905.70030188438,0.040141300018876794
IHC,"neigh=two_opt, iters=1000, restarts=20",3296820.809194117,3483843.793494021,201377.47713565876,0.0766808200161904
IHC,"neigh=two_opt, iters=1000, restarts=30",3170835.05518407,3262166.6609643335,76250.47833406542,0.10650221998803318
IHC,"neigh=two_opt, iters=2000, no_improve=50",3066972.454334736,3252979.018830698,144102.09026153418,0.042272959975525735
IHC,"neigh=two_opt, iters=2000, no_improve=100",2894186.9589250297,3066046.882926136,157434.29067776262,0.07179609993472695
IHC,"neigh=two_opt, iters=2000, no_improve=200",2935666.584649392,2977300.8087070053,58990.781692005185,0.07118758005090058
IHC,"neigh=two_opt, iters=2000, no_improve=500",2897002.798797863,3002065.2156001986,75104.2312184395,0.07535841995850205
IHC_INTENSIFICATION,"iters=1000, restarts=10",2328915.568959007,2953026.5785280955,459541.3796332126,0.040551700023934246
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",3286110.158133323,3579134.641364246,251666.7789652352,0.041200620029121636
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",3202236.251119946,3495021.5394775732,372471.07896451396,0.03426793999969959
