algorithm,params,min,mean,std,time
NN,start=0,3438520.8359142747,3438520.8359142747,0,0.0011654999107122421
NN,start=32,3423871.9356028577,3423871.9356028577,0,0.0016088001430034637
NN,start=64,3080995.8870645612,3080995.8870645612,0,0.0009933998808264732
NN,start=96,3441464.4248918523,3441464.4248918523,0,0.0008731000125408173
NN,best_of_k=1,3438520.8359142747,3438520.8359142747,0,0.0008216002024710178
NN,best_of_k=5,3353024.575102784,3353024.575102784,0,0.004702799953520298
NN,best_of_k=10,2988632.493105349,2988632.493105349,0,0.008910399861633778
NN,best_of_k=20,2988632.493105349,2988632.493105349,0,0.01674690004438162
IHC,"neigh=swap, iters=1000, restarts=10",14066110.624420287,15538528.825138947,886560.5286309147,0.05899109994061291
IHC,"neigh=insert, iters=1000, restarts=10",-13033695.325931897,-8547542.87873363,3523034.6277748137,0.0781599999871105
IHC,"neigh=two_opt, iters=1000, restarts=10",11358249.28270308,12131354.418966703,455247.4837216171,0.07123618000186979
IHC,"neigh=two_opt, iters=100, restarts=10",28689717.227985423,31772169.78638023,1790077.3848389846,0.00778344008140266
IHC,"neigh=two_opt, iters=500, restarts=10",16523482.415550286,17467434.338775083,749424.8341042999,0.03755908003076911
IHC,"neigh=two_opt, iters=1000, restarts=10",11331949.658328963,12099140.366850497,807765.7553939959,0.07226274004206061
IHC,"neigh=two_opt, iters=2000, restarts=10",7034549.741466084,7566154.141245453,431374.22720352246,0.1486095399595797
IHC,"neigh=two_opt, iters=1000, restarts=5",11301308.548595833,12008918.46500112,575813.6012265399,0.03549628001637757
IHC,"neigh=two_opt, iters=1000, restarts=10",11639415.27380862,11958561.289637659,344645.71841716307,0.07934021996334195
IHC,"neigh=two_opt, iters=1000, restarts=20",11111650.820711428,11775459.679919148,547958.843909924,0.15423436001874508
IHC,"neigh=two_opt, iters=1000, restarts=30",10535492.61506559,10971751.485698503,269444.994865832,0.21961376001127064
IHC,"neigh=two_opt, iters=2000, no_improve=50",7408322.388466395,8214644.55553576,527553.7375661619,0.11775762010365724
IHC,"neigh=two_opt, iters=2000, no_improve=100",6724742.799417012,7797143.117022021,777549.1419997156,0.14459608006291091
IHC,"neigh=two_opt, iters=2000, no_improve=200",7799935.387603442,8146405.269992116,318429.8581762523,0.15008725998923184
IHC,"neigh=two_opt, iters=2000, no_improve=500",7324240.1532352,7686310.151049234,450601.1031957813,0.1672391199041158
IHC_INTENSIFICATION,"iters=1000, restarts=10",8476223.85593672,9127403.328930797,880681.2416082227,0.07929222001694143
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",12507615.443783816,13109401.714907553,729690.5139326144,0.08733859998174012
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",10852880.888969215,11509463.582352001,395373.0731914154,0.08285056003369391
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6149642.27779509,7394023.016760206,1178285.2546723515,0.0887054399587214
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",6199998.767504313,7328140.153992853,636156.5181461913,0.08238149997778237
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",6450714.850186011,7509054.019113762,777015.2635817333,0.08564462000504136
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6021982.896127817,6984505.286845051,843694.7521011907,0.08810721999034285
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",5668356.904920193,6693969.200888834,707769.789726776,0.09951256001368165
