algorithm,params,min,mean,std,time
NN,start=0,8965.169966104793,8965.169966104793,0,6.389990448951721e-05
NN,start=12,8999.541686538136,8999.541686538136,0,5.3799943998456e-05
NN,start=24,10177.650858754903,10177.650858754903,0,4.9900030717253685e-05
NN,start=36,10466.257965929759,10466.257965929759,0,4.7800131142139435e-05
NN,best_of_k=1,8965.169966104793,8965.169966104793,0,5.340017378330231e-05
NN,best_of_k=5,8965.169966104793,8965.169966104793,0,0.000206800177693367
NN,best_of_k=10,8965.169966104793,8965.169966104793,0,0.00040510017424821854
NN,best_of_k=20,8793.762394544243,8793.762394544243,0,0.000822099857032299
IHC,"neigh=swap, iters=1000, restarts=10",12385.391447246497,13882.082062623178,1098.1848829531532,0.012416839972138405
IHC,"neigh=insert, iters=1000, restarts=10",11545.253175003761,12347.731218593382,678.4807163209178,0.052785359974950555
IHC,"neigh=two_opt, iters=1000, restarts=10",10434.56164036688,10729.568315093,280.5133143005429,0.014468180062249304
IHC,"neigh=two_opt, iters=100, restarts=10",22208.529991034306,23318.014164716733,817.9553709044044,0.001568060042336583
IHC,"neigh=two_opt, iters=500, restarts=10",12557.161280965624,12891.83104967393,365.2547582098691,0.008368519926443696
IHC,"neigh=two_opt, iters=1000, restarts=10",10164.08041296449,10512.040570495183,343.25922829473615,0.017169599980115892
IHC,"neigh=two_opt, iters=2000, restarts=10",8726.57088350799,9060.263445652683,309.4218363494391,0.02860990008339286
IHC,"neigh=two_opt, iters=1000, restarts=5",9529.846532901249,10453.782869139412,602.07756666654,0.0073888000100851055
IHC,"neigh=two_opt, iters=1000, restarts=10",9929.385058481497,10315.695507468361,381.6794485924873,0.014655439974740147
IHC,"neigh=two_opt, iters=1000, restarts=20",10193.306287646981,10405.98691453821,149.94089466138558,0.02851128005422652
IHC,"neigh=two_opt, iters=1000, restarts=30",9812.329055267839,10285.959407434699,290.7069610393916,0.04291703999042511
IHC,"neigh=two_opt, iters=2000, no_improve=50",11122.269726547402,11826.111082316886,443.24502984582455,0.009201039979234337
IHC,"neigh=two_opt, iters=2000, no_improve=100",8807.421508983507,9605.13961949115,514.5303220479185,0.01735855997540057
IHC,"neigh=two_opt, iters=2000, no_improve=200",8919.82098291217,9212.661350036855,232.14568165699256,0.027238160045817493
IHC,"neigh=two_opt, iters=2000, no_improve=500",8953.009873380055,9225.828281617009,271.8688736054295,0.028758539957925676
IHC_INTENSIFICATION,"iters=1000, restarts=10",9464.527814477613,9857.883724966141,508.4322650856594,0.017457660008221864
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",12130.017064587808,12949.710822166377,789.7007439094906,0.009939239965751768
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",10018.32952967435,10819.927242539528,740.58444967028,0.010169059969484806
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",8789.5845149411,9308.062056318555,486.1830602493184,0.011463380046188831
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",8985.326940169203,9298.275946616133,259.1452254242251,0.010825939988717437
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",8786.7373229095,9062.519609862682,301.49348624815883,0.011327340034767985
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",8903.06341388066,9269.33299506006,225.25434721082888,0.011440500011667609
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",8907.229908837842,9301.216559472636,346.6669562940782,0.011957739945501089
SA,"neigh=two_opt, temp=1000, alpha=0.9, iters=5000",16862.77325334253,17828.800037505356,880.1184621557954,0.0010983000509440898
SA,"neigh=two_opt, temp=1000, alpha=0.95, iters=5000",12370.539713978964,14009.558852394808,1089.2045445271417,0.0023182600270956755
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",8670.25021124104,8944.152366479228,267.56141769018586,0.011489920038729905
SA,"neigh=two_opt, temp=1000, alpha=0.995, iters=5000",8629.54460592155,8975.629436853382,231.36780681310242,0.01918658004142344
SA,"neigh=two_opt, temp=1000, cooling=geometric",9064.79405476502,9344.639520271747,231.1892722374072,0.01183024002239108
SA,"neigh=two_opt, temp=1000, cooling=linear",11351.437399874718,11938.593797420772,566.9014291009863,0.01923611992970109
SA,"neigh=two_opt, temp=1000, cooling=logarithmic",10459.1092048774,10813.690090225477,257.14563694877586,0.019645800068974494
SA_REHEATING,"temp=1000, alpha=0.99, iters=5000",9265.509707849156,10251.76075694148,569.137782121913,0.018690340081229807
TS,"neigh=swap, iters=500, tabu_size=20",10913.20227736882,11520.675882812046,668.0649048232185,0.03413237994536757
TS,"neigh=insert, iters=500, tabu_size=20",10461.27329009588,10916.286630872013,359.63431346202947,0.03474337998777628
TS,"neigh=two_opt, iters=500, tabu_size=20",9304.864902639822,9554.120933342803,156.88278200352144,0.03967712000012398
TS,"neigh=two_opt, iters=500, tabu_size=5",9034.660436779239,9353.1412304059,235.34619103396693,0.03818716001696885
TS,"neigh=two_opt, iters=500, tabu_size=10",9323.878482048234,9496.005261009896,141.4419330138153,0.038757020002231
TS,"neigh=two_opt, iters=500, tabu_size=20",8908.372289621877,9429.534603791742,300.46308620748516,0.039124480076134206
TS,"neigh=two_opt, iters=500, tabu_size=50",8936.810401286237,9466.112124985952,523.4905461398347,0.04131067995913327
TS,"neigh=two_opt, iters=100, tabu_size=20",9902.944115100252,10889.269794455555,671.8153149127248,0.007820140011608601
TS,"neigh=two_opt, iters=250, tabu_size=20",9334.942245078317,9723.145617090931,392.7135131143514,0.019775799987837673
