algorithm,params,min,mean,std,time
NN,start=0,3438520.8359142747,3438520.8359142747,0,0.00032880017533898354
NN,start=32,3423871.9356028577,3423871.9356028577,0,0.00026340014301240444
NN,start=64,3080995.8870645612,3080995.8870645612,0,0.0002454000059515238
NN,start=96,3441464.4248918523,3441464.4248918523,0,0.00022909999825060368
NN,best_of_k=1,3438520.8359142747,3438520.8359142747,0,0.0002741999924182892
NN,best_of_k=5,3353024.575102784,3353024.575102784,0,0.0012458998244255781
NN,best_of_k=10,2988632.493105349,2988632.493105349,0,0.0025403001345694065
NN,best_of_k=20,2988632.493105349,2988632.493105349,0,0.004961900180205703
IHC,"neigh=swap, iters=1000, restarts=10",13366307.344647732,14990319.713693224,1335777.438008031,0.013782279891893267
IHC,"neigh=insert, iters=1000, restarts=10",-13288644.927899694,-8181562.137908996,3561675.305053692,0.01919687995687127
IHC,"neigh=two_opt, iters=1000, restarts=10",11746163.63830687,12109022.053448262,316845.7235222499,0.01752730002626777
IHC,"neigh=two_opt, iters=100, restarts=10",31481516.104424503,33116814.655390542,1450196.2760401452,0.0018980400171130895
IHC,"neigh=two_opt, iters=500, restarts=10",15861656.008244425,17121622.20901879,786905.8005795991,0.009099439950659871
IHC,"neigh=two_opt, iters=1000, restarts=10",11115895.154295983,11723995.28970353,585629.7726707942,0.017586980061605573
IHC,"neigh=two_opt, iters=2000, restarts=10",6754873.092847478,7656989.497918931,544638.3839907092,0.03494018004275858
IHC,"neigh=two_opt, iters=1000, restarts=5",11519011.804460637,12375477.910153268,750536.8215926124,0.00892831995151937
IHC,"neigh=two_opt, iters=1000, restarts=10",11403751.45779979,11848239.205032941,316116.95952139073,0.017516440013423562
IHC,"neigh=two_opt, iters=1000, restarts=20",10214736.033907996,11881940.556474147,938406.4259919561,0.035149840032681824
IHC,"neigh=two_opt, iters=1000, restarts=30",10446146.749480808,11223392.430204047,493229.9639783002,0.053011139994487165
IHC,"neigh=two_opt, iters=2000, no_improve=50",7870743.377120183,8460132.44429286,457442.32363933435,0.029064299957826733
IHC,"neigh=two_opt, iters=2000, no_improve=100",7440010.693615157,7659974.820384205,234505.47710524325,0.03653791998513043
IHC,"neigh=two_opt, iters=2000, no_improve=200",7899466.244323006,8165632.801265745,253395.75176940812,0.03500045998953283
IHC,"neigh=two_opt, iters=2000, no_improve=500",7382340.175228535,7980335.511062743,341064.40181737323,0.03519102004356682
IHC_INTENSIFICATION,"iters=1000, restarts=10",8050835.242100442,9368727.188307926,969643.6318105569,0.019237799942493437
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",9292672.162591439,12687604.318597456,2139192.3418210433,0.02129411995410919
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",8434283.904713232,10206309.333296966,1129946.5443699933,0.020950659969821574
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6043382.159426204,7102295.93112791,890516.0981591159,0.02274364000186324
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",6195249.459541176,7685182.163846777,931775.5960082727,0.021215880010277032
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",5848452.382526646,7315768.11405737,1316351.051629359,0.02234778003767133
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6315756.856189017,7487076.069039569,718315.9260666275,0.023127479990944267
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",5913902.566604542,6787763.331653429,513529.2251115127,0.02435703999362886
SA,"neigh=two_opt, temp=1000, alpha=0.9, iters=5000",23111868.275496688,25157918.80582304,1868234.754299487,0.002383319940418005
SA,"neigh=two_opt, temp=1000, alpha=0.95, iters=5000",16464052.11408574,17887133.26880623,1555173.0574086378,0.004746040049940348
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",6709994.5751643395,7473071.86915726,591365.965824058,0.023248739959672093
SA,"neigh=two_opt, temp=1000, alpha=0.995, iters=5000",4957461.795519833,5693427.326549297,610316.5345276027,0.038718800013884905
SA,"neigh=two_opt, temp=1000, cooling=geometric",6839679.46899986,7170063.5125172,286196.573389069,0.02316536004655063
SA,"neigh=two_opt, temp=1000, cooling=linear",4729930.549201406,5386979.796126381,647710.3714912604,0.03865507999435067
SA,"neigh=two_opt, temp=1000, cooling=logarithmic",4668264.303645117,4960805.400471496,282014.8329242392,0.03905763998627663
SA_REHEATING,"temp=1000, alpha=0.99, iters=5000",4862178.478632164,5146296.971535351,386681.71348256903,0.0384077999740839
TS,"neigh=swap, iters=500, tabu_size=20",9983001.549070822,11092155.178636719,916203.9086630736,0.07464976008050143
TS,"neigh=insert, iters=500, tabu_size=20",7724873.682669082,8376051.307756691,586070.9971318516,0.0727180799935013
TS,"neigh=two_opt, iters=500, tabu_size=20",4289917.806878688,4650315.415525404,254982.87368101018,0.07841483997181058
TS,"neigh=two_opt, iters=500, tabu_size=5",4496264.571026793,4676528.737826515,163279.9175785693,0.07623023996129633
TS,"neigh=two_opt, iters=500, tabu_size=10",4398760.042681681,4561287.369895423,151078.16996117416,0.07741644000634551
TS,"neigh=two_opt, iters=500, tabu_size=20",4097285.7058843584,4403664.314042635,229238.89180253373,0.07819683994166553
TS,"neigh=two_opt, iters=500, tabu_size=50",4483225.648294122,4931853.461902016,437367.86968987656,0.07986340005882084
TS,"neigh=two_opt, iters=100, tabu_size=20",10185593.258877356,12267255.193473443,1399697.934134868,0.015656299982219936
TS,"neigh=two_opt, iters=250, tabu_size=20",5864956.9816363305,6532637.119134346,646259.998395659,0.042502639908343555
TS,"neigh=two_opt, iters=500, tabu_size=20",4172123.595407855,4549160.191277482,268087.07061821205,0.07760922005400062
TS,"neigh=two_opt, iters=1000, tabu_size=20",4054179.832333753,4133415.940772048,73416.42801011367,0.15622821995057165
TS,"neigh=two_opt, iters=500, candidates=5",12180426.403826082,13271704.429851187,799912.2895276304,0.020163200004026292
TS,"neigh=two_opt, iters=500, candidates=10",6792129.987859452,7655045.401042743,646181.0880307278,0.03933704001829028
TS,"neigh=two_opt, iters=500, candidates=20",4386794.6435490325,4892751.063349641,427356.0244652377,0.07823878000490367
TS,"neigh=two_opt, iters=500, candidates=40",3416151.321287801,3592660.9450468253,116451.7608049125,0.15703082005493343
TS_DIVERSIFICATION,"iters=500, tabu_size=20",4629635.262569342,4921112.218545686,206675.03391489614,0.07811068003065884
GA,"sel=tournament, cross=ox, pop=100, gen=100",14433991.069520826,15434204.749327997,1016725.7503453426,0.3313266200013459
GA,"sel=roulette, cross=ox, pop=100, gen=100",17645472.391595326,19869913.75368435,2125344.0555106765,0.45839898004196583
GA,"sel=ranking, cross=ox, pop=100, gen=100",16555138.257526834,17707007.95402774,1445399.7399623797,0.49782304000109434
GA,"sel=tournament, cross=ox, pop=100, gen=100",14626354.449513875,15604921.88774973,981643.3430382148,0.32602956001646816
GA,"sel=tournament, cross=pmx, pop=100, gen=100",16679516.183982369,17837235.650230043,1402739.1201167817,0.20985288000665606
GA,"sel=tournament, cross=cx, pop=100, gen=100",17651958.115017544,20182346.964777563,1598660.7288676186,1.2481751800049097
GA,"sel=tournament, cross=ox, mut=swap, pop=100, gen=100",14076066.428839417,15870048.74584664,1327771.5646227484,0.32331658001057806
GA,"sel=tournament, cross=ox, mut=insert, pop=100, gen=100",13806678.316991411,15759823.280402226,1538109.413971994,0.32488187998533247
GA,"sel=tournament, cross=ox, mut=inversion, pop=100, gen=100",11665353.307445738,12566519.04964867,727556.2700519236,0.3263413399457932
GA,"sel=tournament, cross=ox, pop=50, gen=100",16255974.434013005,18479116.562063523,1347817.6145105301,0.15843216003850102
GA,"sel=tournament, cross=ox, pop=100, gen=100",13634911.44594512,15229781.111433014,1446844.505313171,0.32361412001773715
GA,"sel=tournament, cross=ox, pop=150, gen=100",12316650.852884417,14421756.463113839,1788980.6480217802,0.4875190399587154
GA,"sel=tournament, cross=ox, pop=200, gen=100",10376031.706258984,12894634.523155103,1637798.8231405576,0.6446912799961865
GA,"sel=tournament, cross=ox, p_mut=0.01, pop=100, gen=100",15583564.458336229,17747658.51287363,1380338.6506400504,0.32164141996763645
GA,"sel=tournament, cross=ox, p_mut=0.05, pop=100, gen=100",12976795.443801688,14965854.071140323,1415726.509005992,0.32120428001508117
GA,"sel=tournament, cross=ox, p_mut=0.1, pop=100, gen=100",13713934.018619014,15308180.09434958,1280041.3308282485,0.3239152800291777
GA,"sel=tournament, cross=ox, p_mut=0.2, pop=100, gen=100",14306709.360750781,15137759.621298768,724749.4804077463,0.32576819993555545
GA_ADAPTIVE,"pop=100, gen=100, adaptive_mutation",14190794.29993229,15550862.174408885,1286693.7737816854,0.47182602002285423
ACO,"n_ants=10, iters=50, alpha=1, beta=2",4158943.20865098,4314486.727138302,136081.62695888337,0.7471095600631088
ACO,"n_ants=20, iters=50, alpha=1, beta=2",3854574.6631256975,3980001.729246422,80732.67490797381,1.4482055599801242
ACO,"n_ants=30, iters=50, alpha=1, beta=2",3486666.7134022303,3613455.6316832984,85969.26075604673,2.197254819935188
